iter	Passed	Remaining
166	249769	1245856
167	251027	1243183
168	252259	1240401
169	253644	1238383
170	255062	1236532
171	256827	1236353
172	258874	1237509
173	261289	1240373
174	263722	1243261
175	266641	1248365
176	269853	1254742
177	273419	1262644
178	275658	1264331
179	277875	1265876
180	280236	1268031
181	282682	1270518
182	284938	1272102
183	286381	1270039
184	287997	1268746
185	289719	1267910
186	291431	1267024
187	292840	1264821
188	294209	1262456
189	295703	1260630
190	297083	1258326
191	298473	1256074
192	299975	1254301
193	301387	1252155
194	303322	1252176
195	304955	1250939
196	306516	1249403
197	307737	1246491
198	309164	1244426
199	310777	1243110
200	312225	1241134
201	313566	1238744
202	314914	1236387
203	316554	1235184
204	318153	1233815
205	319623	1231947
206	321199	1230489
207	323230	1230763
208	324711	1228932
209	326330	1227624
210	328423	1228085
211	330226	1227446
212	331762	1225806
213	333146	1223612
214	334979	1223062
215	336740	1222243
216	338559	1221621
217	340649	1221963
218	343936	1226550
219	347111	1230667
220	349097	1230529
221	351051	1230261
222	357245	1244752
223	365452	1266030
224	369569	1272962
225	371766	1273218
226	373791	1272867
227	375702	1272115
228	379059	1276223
229	381211	1276228
230	383867	1277897
231	386846	1280594
232	388945	1280350
233	390848	1279442
234	392874	1278931
235	395054	1278904
236	397714	1280404
237	401407	1285177
238	405237	1290315
239	406891	1288490
240	409102	1288418
241	411216	1288023
242	413366	1287728
243	415825	1288376
244	417984	1288075
245	420482	1288795
246	422978	1289484
247	425365	1289818
248	427063	1288051
249	428958	1286876
250	430521	1284702
251	432478	1283707
252	434304	1282314
253	436333	1281515
254	437753	1278926
255	439635	1277691
256	441025	1275026
257	442492	1272594
258	443993	1270267
259	445618	1268298
260	447188	1266178
261	449027	1264817
262	450954	1263700
263	453513	1264341
264	455576	1263579
265	458112	1264114
266	460055	1262999
267	463486	1265940
268	465682	1265478
269	467442	1263825
270	469074	1261827
271	470441	1259122
272	471620	1255926
273	473092	1253523
274	474485	1250917
275	476041	1248746
276	478041	1247740
277	479731	1245920
278	481334	1243877
279	483101	1242259
280	485047	1241099
281	487086	1240171
282	488818	1238455
283	490440	1236463
284	492063	1234475
285	493668	1232444
286	495309	1230506
287	496724	1228012
288	498159	1225575
289	499510	1222938
290	501012	1220679
291	502370	1218075
292	503644	1215279
293	505093	1212912
294	506844	1211273
295	508302	1208935
296	509694	1206449
297	511079	1203951
298	512552	1201669
299	513754	1198759
300	515250	1196545
301	516784	1194421
302	518715	1193217
303	520643	1192000
304	522492	1190596
305	524326	1189159
306	526930	1189456
307	528601	1187636
308	530041	1185302
309	531414	1182825
310	532693	1180148
311	534274	1178144
312	536159	1176810
313	537537	1174365
314	538798	1171672
315	540022	1168909
316	541318	1166310
317	543211	1165001
318	544938	1163332
319	546409	1161119
320	547847	1158843
321	549311	1156624
322	550859	1154588
323	552448	1152638
324	554088	1150800
325	555468	1148421
326	556833	1146021
327	558140	1143507
328	559442	1140991
329	561059	1139120
330	562897	1137698
331	564503	1135808
332	566064	1133828
333	567414	1131432
334	568894	1129298
335	570335	1127090
336	571951	1125234
337	573607	1123456
338	574861	1120896
339	576145	1118399
340	577526	1116098
341	579167	1114304
342	580912	1112710
343	582229	1110298
344	583658	1108105
345	585019	1105787
346	586305	1103335
347	587610	1100925
348	588906	1098503
349	590187	1096063
350	591423	1093544
351	592740	1091181
352	594122	1088944
353	595455	1086622
354	596651	1084056
355	598066	1081895
356	599347	1079496
357	600655	1077153
358	601866	1074641
359	603419	1072745
360	605310	1071450
361	606753	1069360
362	608138	1067173
363	609961	1065756
364	611524	1063885
365	613234	1062270
366	616342	1063064
367	617908	1061190
368	619432	1059246
369	621619	1058433
370	624587	1058935
371	626421	1057507
372	627803	1055315
373	629149	1053068
374	630399	1050666
375	631643	1048259
376	632821	1045749
377	633889	1043066
378	635098	1040622
379	636207	1038023
380	637267	1035351
381	638330	1032691
382	639411	1030069
383	640556	1027558
384	641860	1025308
385	643612	1023777
386	644765	1021295
387	645923	1018827
388	647024	1016276
389	648133	1013748
390	649127	1011045
391	649893	1007997
392	650998	1005485
393	652069	1002928
394	653381	1000748
395	654716	998608
396	655928	996284
397	656980	993724
398	657940	991033
399	658877	988316
400	659875	985698
401	660860	983071
402	661779	980353
403	662794	977786
404	664170	975755
405	665161	973167
406	666152	970585
407	667090	967935
408	668004	965258
409	668877	962530
410	669878	959995
411	670804	957361
412	671684	954669
413	672564	951987
414	673465	949342
415	674373	946717
416	675286	944105
417	676246	941568
418	677248	939096
419	678167	936516
420	679136	934014
421	680157	931589
422	681115	929087
423	682053	926563
424	683000	924059
425	683951	921569
426	684886	919063
427	685844	916596
428	686739	914051
429	687727	911638
430	688855	909417
431	689898	907089
432	690832	904624
433	691780	902183
434	692706	899722
435	693580	897200
436	694483	894723
437	695379	892245
438	696565	890144
439	697646	887914
440	698553	885468
441	699449	883015
442	700434	880682
443	701403	878334
444	702428	876062
445	703315	873625
446	704419	871462
447	705409	869165
448	706335	866794
449	707285	864460
450	708183	862068
451	709091	859694
452	709973	857296
453	710920	854983
454	711830	852632
455	712715	850257
456	713672	847973
457	714590	845651
458	715491	843313
459	716367	840952
460	717250	838607
461	718152	836290
462	719017	833935
463	719972	831692
464	720938	829467
465	721909	827252
466	723335	825562
467	724608	823700
468	725593	821514
469	726582	819337
470	727585	817182
471	728574	815015
472	729564	812855
473	730496	810635
474	731413	808404
475	732422	806279
476	733571	804314
477	734699	802329
478	735662	800167
479	736634	798020
480	737598	795870
481	738542	793702
482	739514	791571
483	740505	789464
484	741488	787353
485	742446	785221
486	743354	783040
487	744294	780899
488	745369	778903
489	746453	776921
490	747365	774764
491	748302	772637
492	749283	770561
493	750233	768458
494	751218	766394
495	752116	764247
496	753059	762151
497	753981	760037
498	754941	757967
499	755896	755896
500	756892	753871
501	757849	751811
502	758726	749676
503	759606	747548
504	760579	745518
505	761520	743460
506	762589	741531
507	763522	739474
508	764449	737415
509	765511	735491
510	766694	733686
511	767653	731669
512	768509	729559
513	769450	727534
514	770367	725492
515	771286	723454
516	772205	721421
517	773084	719356
518	774023	717351
519	774954	715342
520	775899	713351
521	776825	711345
522	777833	709419
523	778716	707383
524	779649	705396
525	780622	703450
526	781508	701429
527	782503	699510
528	783606	697691
529	784605	695782
530	785599	693872
531	786505	691888
532	787401	689899
533	788261	687883
534	789162	685908
535	790095	683963
536	791089	682075
537	792019	680135
538	793092	678322
539	794057	676419
540	794984	674488
541	795900	672550
542	796835	670633
543	797715	668673
544	798587	666710
545	799491	664779
546	800393	662849
547	801328	660949
548	802308	659091
549	803227	657186
550	804163	655298
551	805113	653425
552	806327	651769
553	807293	649915
554	808268	648071
555	809296	646272
556	810262	644427
557	811222	642580
558	812153	640715
559	813101	638865
560	813994	636975
561	814930	635123
562	815847	633260
563	816754	631391
564	817651	629519
565	818553	627654
566	819502	625827
567	820394	623962
568	821329	622131
569	822367	620382
570	823319	618571
571	824226	616729
572	825121	614880
573	826084	613087
574	826979	611245
575	828180	609632
576	829271	607940
577	830225	606150
578	831414	604534
579	832648	602952
580	833634	601192
581	834610	599428
582	835500	597605
583	836386	595782
584	837355	594021
585	838294	592242
586	839194	590438
587	840107	588646
588	841011	586852
589	841925	585066
590	842967	583373
591	844058	581715
592	845032	579980
593	845984	578231
594	846827	576412
595	847722	574630
596	848657	572879
597	849519	571081
598	850439	569325
599	851341	567561
600	852220	565783
601	853118	564021
602	854023	562267
603	854928	560516
604	855909	558817
605	856836	557085
606	857706	555319
607	858657	553607
608	859538	551854
609	860389	550085
610	861311	548363
611	862253	546657
612	863148	544924
613	864017	543177
614	864866	541420
615	865798	539718
616	866728	538017
617	867656	536318
618	868558	534605
619	869476	532904
620	870337	531172
621	871234	529464
622	872107	527743
623	873066	526078
624	874024	524414
625	874877	522690
626	875793	521006
627	876701	519320
628	877584	517621
629	878427	515902
630	879360	514237
631	880332	512598
632	881285	510950
633	882299	509339
634	883528	507854
635	884420	506177
636	885392	504548
637	886318	502895
638	887249	501247
639	888156	499588
640	889126	497966
641	890274	496446
642	891302	494859
643	892320	493270
644	893293	491657
645	894307	490069
646	895333	488489
647	896355	486909
648	897436	485362
649	898499	483807
650	899546	482245
651	900503	480636
652	901427	479012
653	902401	477417
654	903718	476004
655	904726	474429
656	905626	472800
657	906545	471183
658	907504	469588
659	908395	467961
660	909305	466346
661	910182	464715
662	911110	463113
663	912055	461521
664	912986	459925
665	913928	458336
666	914860	456744
667	915845	455180
668	916872	453639
669	917734	452018
670	918620	450411
671	919532	448819
672	920474	447243
673	921411	445667
674	922341	444090
675	923266	442512
676	924142	440913
677	925043	439327
678	926020	437779
679	926928	436201
680	927874	434643
681	928840	433095
682	929752	431525
683	930691	429968
684	931595	428397
685	932481	426820
686	933381	425252
687	934262	423677
688	935142	422103
689	936105	420569
690	936973	418994
691	937832	417416
692	938728	415858
693	939636	414306
694	940521	412746
695	941422	411196
696	942437	409696
697	943418	408184
698	944253	406609
699	945100	405043
700	945984	403494
701	946840	401935
702	947736	400394
703	948645	398862
704	948645	398862
705	952092	397042
706	954810	396260
707	957151	395315
708	958837	394098
709	960328	392800
710	961969	391562
711	963503	390279
712	964469	388767
713	965580	387315
714	967003	385988
715	967924	384462
716	968891	382955
717	969790	381423
718	970690	379894
719	971644	378387
720	972622	376891
721	973712	375439
722	974618	373918
723	974618	373918
724	978949	372352
725	982377	371783
726	987581	371875
727	992827	371968
728	995467	371075
729	998318	370255
730	1000063	369021
731	1002537	368054
732	1004508	366899
733	1006388	365709
734	1008350	364547
735	1010166	363329
736	1013092	362508
737	1014660	361196
738	1016098	359839
739	1017554	358487
740	1018993	357130
741	1020217	355697
742	1021624	354328
743	1022839	352893
744	1024313	351547
745	1025639	350151
746	1026826	348707
747	1028192	347325
748	1029644	345971
749	1030858	344538
750	1032078	343107
751	1033458	341730
752	1035688	340632
753	1038187	339619
754	1039949	338363
755	1041405	337006
756	1043015	335699
757	1044799	334446
758	1046250	333086
759	1047518	331668
760	1048909	330288
761	1050422	328948
762	1051732	327543
763	1053122	326164
764	1054891	324901
765	1056442	323570
766	1057991	322238
767	1059396	320861
768	1060605	319426
769	1061999	318046
770	1063370	316660
771	1065063	315369
772	1066500	314002
773	1068019	312658
774	1069407	311276
775	1070853	309910
776	1072293	308543
777	1073580	307132
778	1074817	305707
779	1076357	304368
780	1078096	303084
781	1079425	301685
782	1080842	300310
783	1082315	298951
784	1083756	297583
785	1085206	296217
786	1086561	294824
787	1088054	293470
788	1089662	292145
789	1091474	290875
790	1093081	289548
791	1094946	288289
792	1096656	286988
793	1098136	285626
794	1099690	284283
795	1101584	283026
796	1103697	281824
797	1106042	280679
798	1107531	279314
799	1109331	278027
800	1111055	276721
801	1112604	275369
802	1114145	274015
803	1116227	272793
804	1117544	271383
805	1119058	270021
806	1120524	268647
807	1122141	267309
808	1123523	265914
809	1124749	264483
810	1126093	263079
811	1127293	261643
812	1128554	260221
813	1129763	258788
814	1131042	257371
815	1132289	255947
816	1134237	254681
817	1137157	253630
818	1140286	252621
819	1142085	251314
820	1143787	249985
821	1145733	248707
822	1147402	247369
823	1148926	245998
824	1150339	244604
825	1153320	243540
826	1158254	242882
827	1161369	241834
828	1163375	240552
829	1165028	239196
830	1166731	237850
831	1169424	236702
832	1172888	235706
833	1174982	234431
834	1177528	233243
835	1179407	231921
836	1181177	230577
837	1182572	229158
838	1184227	227790
839	1185626	226372
840	1187691	225080
841	1190189	223868
842	1194305	222955
843	1196212	221626
844	1198553	220374
845	1199796	218920
846	1200869	217435
847	1201972	215957
848	1203233	214507
849	1204536	213066
850	1206034	211659
851	1207318	210215
852	1208465	208747
853	1209528	207266
854	1210825	205826
855	1211927	204353
856	1213060	202886
857	1214163	201415
858	1215447	199974
859	1216621	198516
860	1217706	197044
861	1218808	195576
862	1219968	194118
863	1221088	192654
864	1222206	191191
865	1223352	189732
866	1224533	188280
867	1225912	186859
868	1227203	185425
869	1228547	183999
870	1229741	182550
871	1230915	181100
872	1232106	179652
873	1233276	178202
874	1234444	176753
875	1235696	175316
876	1236819	173861
877	1237871	172397
878	1239097	170958
879	1240205	169504
880	1241525	168079
881	1243071	166684
882	1245820	165449
883	1248666	164223
884	1250713	162890
885	1252159	161477
886	1253284	160023
887	1254373	158566
888	1255428	157105
889	1256627	155663
890	1257810	154219
891	1258843	152758
892	1259867	151297
893	1260875	149834
894	1261982	148385
895	1262998	146925
896	1264068	145473
897	1265193	144028
898	1266428	142596
899	1267664	141165
900	1268742	139716
901	1269812	138268
902	1270880	136820
903	1272065	135386
904	1273414	133969
905	1275355	132614
906	1276904	131217
907	1279119	129888
908	1280655	128489
909	1281994	127069
910	1283176	125635
911	1284447	124210
912	1286171	122828
913	1287457	121404
914	1288611	119969
915	1289759	118533
916	1290799	117088
917	1291809	115642
918	1292816	114196
919	1293786	112748
920	1294733	111299
921	1295667	109850
922	1296599	108401
923	1297579	106958
924	1298621	105521
925	1299556	104077
926	1300490	102633
927	1301416	101190
928	1302362	99749
929	1303376	98315
930	1304336	96877
931	1305353	95445
932	1306324	94010
933	1307311	92577
934	1308293	91145
935	1309314	89717
936	1310330	88289
937	1311266	86857
938	1312236	85428
939	1313202	84000
940	1314204	82575
941	1315157	81148
942	1316126	79722
943	1317078	78297
944	1318093	76877
945	1319090	75456
946	1320100	74037
947	1321131	72620
948	1322183	71205
949	1323122	69784
950	1324106	68367
951	1325028	66948
952	1325970	65531
953	1327001	64119
954	1328037	62709
955	1329310	61309
956	1330297	59898
957	1331387	58491
958	1332493	57086
959	1333431	55675
960	1334482	54269
961	1335807	52875
962	1336929	51473
963	1337815	50063
964	1338748	48656
965	1339689	47250
966	1340609	45844
967	1341505	44439
968	1342450	43036
969	1343400	41634
970	1344321	40232
971	1345416	38836
972	1346474	37440
973	1347493	36044
974	1348489	34647
975	1349477	33252
976	1350365	31854
977	1351262	30458
978	1352188	29064
979	1353136	27671
980	1354032	26278
981	1354943	24886
982	1355878	23496
983	1356840	22107
984	1357882	20720
985	1358946	19334
986	1359996	17949
987	1360928	16563
988	1361865	15177
989	1362794	13793
990	1363736	12410
991	1364672	11027
992	1365651	9646
993	1366521	8265
994	1367446	6885
995	1368371	5506
996	1369300	4128
997	1370404	2751
998	1371613	1375
999	1372606	0
