iter	Logloss
0	0.6839808792
1	0.6755348586
2	0.6661261272
3	0.6579435649
4	0.6496630566
5	0.642357504
6	0.634028354
7	0.6258107773
8	0.6181968658
9	0.6106607915
10	0.6028667269
11	0.5969577096
12	0.5894258723
13	0.582490672
14	0.5764523
15	0.5697979787
16	0.5633323479
17	0.557103049
18	0.5513610006
19	0.5449596517
20	0.5387688341
21	0.5330510996
22	0.5278266181
23	0.5218617991
24	0.5150266448
25	0.5094025801
26	0.5046862736
27	0.4996494512
28	0.494949978
29	0.49031011
30	0.4857998511
31	0.4811472794
32	0.4758434027
33	0.4714518564
34	0.4668289918
35	0.4622686894
36	0.4580585256
37	0.4536735679
38	0.4498648958
39	0.4462097607
40	0.4421363175
41	0.4388115466
42	0.4352315122
43	0.431669589
44	0.4282537531
45	0.4246674943
46	0.4214829914
47	0.4179805518
48	0.4148731261
49	0.4112302113
50	0.4071602688
51	0.4043527718
52	0.4017428723
53	0.3977475948
54	0.3946028228
55	0.3911084458
56	0.3876973293
57	0.3848331834
58	0.381912359
59	0.3792957381
60	0.3765921569
61	0.3739362736
62	0.3712722982
63	0.3683949158
64	0.3655335736
65	0.362607397
66	0.3605642966
67	0.3583246444
68	0.3557118183
69	0.35332548
70	0.3508047039
71	0.3483888068
72	0.3463084865
73	0.3436420773
74	0.3417247622
75	0.3391748873
76	0.3364543427
77	0.3345565791
78	0.3326399979
79	0.3303920785
80	0.3283644955
81	0.3262414436
82	0.3242275574
83	0.3222418313
84	0.3201984936
85	0.3181309
86	0.316331887
87	0.3142331308
88	0.3126765485
89	0.3109188594
90	0.309272247
91	0.3072890158
92	0.3054010768
93	0.303706593
94	0.3018633891
95	0.3001438794
96	0.2983751398
97	0.2964072769
98	0.2946093151
99	0.2926825461
100	0.2911435755
101	0.2893880048
102	0.2878383665
103	0.2863636374
104	0.2846594859
105	0.2834084496
106	0.2820603299
107	0.2808107315
108	0.2795181878
109	0.2783137933
110	0.2767921973
111	0.2753987532
112	0.2740716129
113	0.2728473597
114	0.2712775992
115	0.2698183205
116	0.2686846695
117	0.2676435984
118	0.2663837667
119	0.265087577
120	0.2640106767
121	0.2630231184
122	0.2615468229
123	0.2606183563
124	0.2595006049
125	0.258420015
126	0.2571452919
127	0.256261676
128	0.2549698152
129	0.2540999448
130	0.2529390088
131	0.2518156094
132	0.2506229559
133	0.2493629431
134	0.2480046323
135	0.2470566269
136	0.2460074284
137	0.2448828781
138	0.2438870155
139	0.2428659021
140	0.2417718401
141	0.2406880119
142	0.2397257543
143	0.2387948483
144	0.2375206645
145	0.2361983156
146	0.2352334551
147	0.234244398
148	0.233369356
149	0.2323020839
150	0.231567723
151	0.2307488413
152	0.2297688697
153	0.2289532859
154	0.2280385053
155	0.22745985
156	0.2267557178
157	0.225920525
158	0.2249702299
159	0.2237650248
160	0.2226087673
161	0.2217325901
162	0.22086519
163	0.2202543825
164	0.2192150654
165	0.218572064
166	0.2177013324
167	0.2168552502
168	0.2160775456
169	0.2153186236
170	0.2144149826
171	0.213581442
172	0.2127621042
173	0.2119732167
174	0.2110530728
175	0.2101022181
176	0.2089372988
177	0.2084636196
178	0.2078534538
179	0.2071823738
180	0.2062940005
181	0.2055105834
182	0.2047371619
183	0.2039701669
184	0.2028166857
185	0.2019921108
186	0.2012713815
187	0.2007163354
188	0.1997905268
189	0.1989747886
190	0.1983233236
191	0.1974607616
192	0.1968512408
193	0.1961664953
194	0.1954735841
195	0.1946658781
196	0.1940172931
197	0.193479783
198	0.1929391717
199	0.1922432992
200	0.1917230162
201	0.1912867094
202	0.1907829674
203	0.1900966158
204	0.1895810406
205	0.1890410445
206	0.188614621
207	0.1880398036
208	0.1874403697
209	0.1867364535
210	0.1859606173
211	0.1854902402
212	0.1849651436
213	0.1841452307
214	0.1836162971
215	0.183084865
216	0.1826956621
217	0.182151036
218	0.1817558604
219	0.1811573536
220	0.1806582179
221	0.1801994841
222	0.1798166948
223	0.1793796541
224	0.1787997766
225	0.1783854844
226	0.177861637
227	0.1774646312
228	0.1767740582
229	0.1761816142
230	0.1756419912
231	0.1750701722
232	0.1746356998
233	0.1741493454
234	0.173656793
235	0.1731869383
236	0.172616955
237	0.1720491728
238	0.1713900114
239	0.1710266774
240	0.1706352644
241	0.1701000749
242	0.1695550705
243	0.1690743777
244	0.1687694981
245	0.1681702946
246	0.1675418807
247	0.1669313622
248	0.1663196326
249	0.1657179798
250	0.1654590261
251	0.1649377128
252	0.1644646551
253	0.1639308411
254	0.1634346067
255	0.1628954025
256	0.1624253702
257	0.1620165795
258	0.1615328256
259	0.1611804838
260	0.1609125048
261	0.1605873528
262	0.1600310885
263	0.159498092
264	0.1590429757
265	0.1587042452
266	0.1582892602
267	0.1576829154
268	0.1571924948
269	0.1567480019
270	0.1563156168
271	0.1557123288
272	0.1553625066
273	0.1549173021
274	0.1545388108
275	0.1541863774
276	0.1539484999
277	0.1535200741
278	0.1530608645
279	0.1527114747
280	0.1524166847
281	0.1521232956
282	0.1517801464
283	0.1513887221
284	0.1510852318
285	0.1506780005
286	0.1502386494
287	0.1499111932
288	0.1494479074
289	0.1491964115
290	0.1488402498
291	0.1485985311
292	0.1482314234
293	0.1479913541
294	0.1476035811
295	0.147306737
296	0.1468046164
297	0.146543611
298	0.1462625246
299	0.1459629077
300	0.1456496167
301	0.1454019625
302	0.1450705909
303	0.1447851403
304	0.1443744096
305	0.1440462972
306	0.143705719
307	0.1431785804
308	0.142937883
309	0.1425769576
310	0.1421713649
311	0.1418926998
312	0.1414785513
313	0.1412061014
314	0.140920987
315	0.1405009421
316	0.1400821081
317	0.1398661584
318	0.1395514057
319	0.1393413947
320	0.1390562648
321	0.1387516111
322	0.138438517
323	0.1380275024
324	0.1377846107
325	0.1374783713
326	0.1372949423
327	0.1369541507
328	0.1366160942
329	0.136381377
330	0.1361012975
331	0.1358131501
332	0.135474404
333	0.1352218386
334	0.1349380515
335	0.134656048
336	0.1343315553
337	0.1338242027
338	0.1335054631
339	0.1332750484
340	0.1328426937
341	0.1325874634
342	0.1323287174
343	0.1320816547
344	0.1318432001
345	0.1314891553
346	0.1312467429
347	0.1308507041
348	0.1305820921
349	0.1304189172
350	0.1301948789
351	0.1298890834
352	0.1295165161
353	0.1290504435
354	0.1287607245
355	0.1283688738
356	0.1279506701
357	0.1275711611
358	0.1273288517
359	0.1269618827
360	0.1267469556
361	0.126450883
362	0.1262379407
363	0.1258061716
364	0.1256034687
365	0.125441998
366	0.1252764915
367	0.1249766832
368	0.1247422797
369	0.1245168014
370	0.1242361653
371	0.1240566521
372	0.1238326731
373	0.1235566231
374	0.1231678284
375	0.1228063159
376	0.1225744352
377	0.1222902597
378	0.1220083831
379	0.1217158121
380	0.1213489746
381	0.1212314474
382	0.120944142
383	0.1206781993
384	0.1204464069
385	0.1202773042
386	0.1200167149
387	0.1197217689
388	0.1194854499
389	0.1191616397
390	0.1189235723
391	0.1187343012
392	0.1185180307
393	0.1182789396
394	0.1180218257
395	0.1176866452
396	0.1175158336
397	0.1172528155
398	0.1169334635
399	0.1166312568
400	0.1163038382
401	0.1161036789
402	0.115719309
403	0.1156157605
404	0.1154225614
405	0.11522944
406	0.1149903215
407	0.1148400942
408	0.1145873797
409	0.114208961
410	0.1139445988
411	0.1136646574
412	0.113532034
413	0.1132503056
414	0.1129485654
415	0.1127550753
416	0.1125456967
417	0.112278492
418	0.1120248938
419	0.1118049831
420	0.1116189231
421	0.1113348097
422	0.111077536
423	0.1108965937
424	0.110688739
425	0.110373161
426	0.1101971983
427	0.1100378605
428	0.1098945692
429	0.1096619846
430	0.1094076245
431	0.1091497026
432	0.1087869102
433	0.1085613627
434	0.1083883883
435	0.1081547029
436	0.1079359422
437	0.1077787489
438	0.1075094179
439	0.1073501107
440	0.1070860127
441	0.1069128712
442	0.1065751684
443	0.1062187865
444	0.1059400519
445	0.1056173989
446	0.1053475625
447	0.1050710946
448	0.104760195
449	0.1045148755
450	0.1043225364
451	0.1041088561
452	0.1039239597
453	0.1037339956
454	0.1034040082
455	0.1031974174
456	0.1030511792
457	0.1028477668
458	0.1027124032
459	0.1024119525
460	0.1021564827
461	0.1018701891
462	0.1016573511
463	0.1014624066
464	0.1012834106
465	0.1010823168
466	0.100863769
467	0.1007190098
468	0.1004770417
469	0.1002773575
470	0.1001109558
471	0.09983829015
472	0.09952371474
473	0.09941772769
474	0.09924539328
475	0.09906276912
476	0.09889614027
477	0.09868353583
478	0.09856389949
479	0.09826418738
480	0.09809626839
481	0.09790397058
482	0.09774062048
483	0.09757715339
484	0.09750274637
485	0.09726438597
486	0.09703359106
487	0.09687983712
488	0.09664511318
489	0.09634568624
490	0.09615244356
491	0.09603051835
492	0.09587404728
493	0.09566680783
494	0.09550389707
495	0.09542425789
496	0.09525231343
497	0.09506531641
498	0.0949011608
499	0.09480559153
500	0.09460171359
501	0.09449950078
502	0.09429608943
503	0.09413719357
504	0.09400598396
505	0.09376955446
506	0.09353674172
507	0.09336895605
508	0.09320572688
